date,journal,url
1879-01-01,"Annales des sciences physiques et naturelles, d'agriculture et d'industrie / publiées par la Société d'agriculture de Lyon",https://gallica.bnf.fr/ark:/12148/bpt6k5494039j
1873-01-01,Annuaire de la marine et des colonies...,https://gallica.bnf.fr/ark:/12148/bpt6k170152n
1873-07-01,Annuaire de la marine et des colonies...,https://gallica.bnf.fr/ark:/12148/bpt6k1701531
1874-01-01,Annuaire de la marine et des colonies...,https://gallica.bnf.fr/ark:/12148/bpt6k170154d
1879-01-01,Annuaire de la marine et des colonies...,https://gallica.bnf.fr/ark:/12148/bpt6k170074s
1880-01-01,Annuaire de la marine et des colonies...,https://gallica.bnf.fr/ark:/12148/bpt6k1701565
1877-01-01,"Annuaire-almanach du commerce, de l'industrie, de la magistrature et de l'administration : ou almanach des 500.000 adresses de Paris, des départements et des pays étrangers : Firmin Didot et Bottin réunis",https://gallica.bnf.fr/ark:/12148/bpt6k9677392n
1878-01-01,"Annuaire-almanach du commerce, de l'industrie, de la magistrature et de l'administration : ou almanach des 500.000 adresses de Paris, des départements et des pays étrangers : Firmin Didot et Bottin réunis",https://gallica.bnf.fr/ark:/12148/bpt6k9692809v
1880-01-01,"Annuaire-almanach du commerce, de l'industrie, de la magistrature et de l'administration : ou almanach des 500.000 adresses de Paris, des départements et des pays étrangers : Firmin Didot et Bottin réunis",https://gallica.bnf.fr/ark:/12148/bpt6k9672776c
1877-01-01,Archives des missions scientifiques et littéraires : choix de rapports et instructions publié sous les auspices du Ministère de l'instruction publique et des cultes,https://gallica.bnf.fr/ark:/12148/bpt6k57242910
1870-01-01,Bulletin annoté des lois et décrets,https://gallica.bnf.fr/ark:/12148/bpt6k931894x
1874-07-01,Bulletin de la Société de géographie,https://gallica.bnf.fr/ark:/12148/bpt6k37705x
1875-07-01,Bulletin de la Société de géographie,https://gallica.bnf.fr/ark:/12148/bpt6k37707m
1875-01-01,Bulletin de la Société de géographie,https://gallica.bnf.fr/ark:/12148/bpt6k377068
1876-01-01,Bulletin de la Société de géographie,https://gallica.bnf.fr/ark:/12148/bpt6k37708z
